run,type,module,name,attrname,attrvalue,value
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[2].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[2].**.initialZ,"629.3m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[3].**.initialX,"1625.9m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[3].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[3].**.initialZ,"692.29m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[4].**.initialX,"1608.2m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[4].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[4].**.initialZ,"702.8m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[5].**.initialX,"1578.9m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[5].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[5].**.initialZ,"681m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[6].**.initialX,"1560.2m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[6].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
